stream_files�
"Munic�pio","ibge","latitude","longitude","/Com�rcio/Vend...lina Automotiva 2011 (litros)"
"S�o Jos� do Norte","4318507","-32.015099999990","-52.033099999990","2.255.500"
"S�o Jos� do Ouro","4318606","-27.770700000000","-51.596600000000","2.272.000"
"S�o Jos� do Sul","4318614","-29.529000000000","-51.487099999990","409.000"
"S�o Jos� dos Ausentes","4318622","-28.747599999990","-50.067700000000","540.000"
"S�o Leopoldo","4318705","-29.754500000000","-51.149799999990","59.489.500"
"S�o Louren�o do Sul","4318804","-31.356400000000","-51.971499999990","7.245.500"
"S�o Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","8.169.000"
"S�o Marcos","4319000","-28.967700000000","-51.069600000000","5.515.800"
"S�o Martinho","4319109","-27.711200000000","-53.969900000000","2.844.150"
"S�o Martinho da Serra","4319125","-29.539700000000","-53.859000000000","21.700"
"S�o Miguel das Miss�es","4319158","-28.556000000000","-54.555900000000","1.005.000"
"S�o Nicolau","4319208","-28.183399999990","-55.265400000000","542.000"
"S�o Paulo das Miss�es","4319307","-28.019500000000","-54.940399999990","666.300"
"S�o Pedro da Serra","4319356","-29.419300000000","-51.513399999990","552.000"
"S�o Pedro das Miss�es","4319364","-27.773219999990","-53.250470000000","193.000"
"S�o Pedro do Buti�","4319372","-28.124300000000","-54.892600000000","486.000"
"S�o Pedro do Sul","4319406","-29.620200000000","-54.185499999990","3.229.000"
"S�o Sebasti�o do Ca�","4319505","-29.588500000000","-51.374899999990","8.102.000"
"S�o Sep�","4319604","-30.164300000000","-53.560299999990","6.617.000"
"S�o Valentim","4319703","-27.558299999990","-52.523699999990","654.000"
"S�o Valentim do Sul","4319711","-29.045100000000","-51.768400000000","1.105.000"
"S�o Val�rio do Sul","4319737","-27.790600000000","-53.936799999990","105.000"
"S�o Vendelino","4319752","-29.372900000000","-51.367500000000","743.000"
"S�o Vicente do Sul","4319802","-29.688199999990","-54.682600000000","1.520.000"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","18.005.000"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","30.721.500"
"Sarandi","4320107","-27.942000000000","-52.923099999990","5.599.050"
"Seberi","4320206","-27.482900000000","-53.402600000000","3.186.750"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","367.000"
"Segredo","4320263","-29.352300000000","-52.976700000000","954.300"
"Selbach","4320305","-28.629400000000","-52.949800000000","1.108.000"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","316.050"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","562.000"
"Serafina Corr�a","4320404","-28.712599999990","-51.935299999990","3.649.000"
"S�rio","4320453","-29.390400000000","-52.268500000000","238.000"
"Sert�o","4320503","-27.979800000000","-52.258800000000","1.265.000"
"Sert�o Santana","4320552","-30.456199999990","-51.601700000000","1.063.000"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","68.000"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","1.050.000"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","385.000"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","1.547.000"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","3.468.000"
"Soledade","4320800","-28.830600000000","-52.513100000000","6.503.000"
"Taba�","4320859","-29.643000000000","-51.682299999990","4.753.000"
"Tapejara","4320909","-28.065200000000","-52.009700000000","5.254.000"
"Tapera","4321006","-28.627700000000","-52.861199999990","4.250.050"
"Tapes","4321105","-30.668299999990","-51.399099999990","3.774.660"
"Taquara","4321204","-29.650500000000","-50.775300000000","13.927.000"
"Taquari","4321303","-29.794300000000","-51.865299999990","4.192.000"
"Taquaru�u do Sul","4321329","-27.400400000000","-53.470300000000","686.000"
"Tavares","4321352","-31.284300000000","-51.088000000000","742.087"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","2.902.350"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","5.665.800"
"Teut�nia","4321451","-29.448200000000","-51.804400000000","9.009.000"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","2.409.000"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","391.000"
"Toropi","4321493","-29.478200000000","-54.224400000000","214.000"
"Torres","4321501","-29.333400000000","-49.733300000000","12.682.100"
"Tramanda�","4321600","-29.984100000000","-50.132199999990","13.609.000"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","217.000"
"Tr�s Arroios","4321634","-27.500299999990","-52.144799999990","434.500"
"Tr�s Cachoeiras","4321667","-29.448699999990","-49.927500000000","2.659.300"
"Tr�s Coroas","4321709","-29.513700000000","-50.773899999990","5.777.000"
"Tr�s de Maio","4321808","-27.780000000000","-54.235700000000","6.146.500"
"Tr�s Forquilhas","4321832","-29.538399999990","-50.070799999990","223.500"
"Tr�s Palmeiras","4321857","-27.613900000000","-52.843699999990","1.136.000"
"Tr�s Passos","4321907","-27.455500000000","-53.929600000000","6.351.650"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","1.030.000"
"Triunfo","4322004","-29.929099999990","-51.707500000000","7.516.774"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","1.535.042"
"Tunas","4322152","-29.103899999990","-52.953800000000","450.000"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","167.000"
"Tupanciret�","4322202","-29.085799999990","-53.844499999990","3.779.100"
"Tupandi","4322251","-29.477200000000","-51.417400000000","913.000"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","2.209.550"
"Turu�u","4322327","-31.417300000000","-52.170600000000","1.091.500"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","166.000"
"Uni�o da Serra","4322350","-28.783300000000","-52.023800000000","162.000"
"Unistalda","4322376","-29.039999999990","-55.151699999990","17.000"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","13.596.000"
"Vacaria","4322509","-28.507899999990","-50.941800000000","16.471.050"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","1.493.000"
"Vale Real","4322541","-29.391900000000","-51.255899999990","815.500"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","591.000"
"Vanini","4322558","-28.475800000000","-51.844700000000","392.000"
"Ven�ncio Aires","4322608","-29.614300000000","-52.193199999990","15.561.750"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","5.036.295"
"Veran�polis","4322806","-28.931200000000","-51.551600000000","6.296.000"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","185.000"
"Viadutos","4322905","-27.571600000000","-52.021099999990","752.000"
"Viam�o","4323002","-30.081900000000","-51.019399999990","35.859.000"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","543.000"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","656.000"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","721.000"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","1.650.000"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","894.800"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","273.000"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","286.000"
"Vista Ga�cha","4323705","-27.290199999990","-53.697400000000","321.000"
"Vit�ria das Miss�es","4323754","-28.351600000000","-54.503999999990","221.000"
"Westfalia","4323770","-29.374400000000","-51.746299999990","801.000"
"Xangri-l�","4323804","-29.806500000000","-50.051900000000","6.061.500"
