stream_files�
"Munic�pio","ibge","latitude","longitude","/Com�rcio/Vend...lina Automotiva 2011 (litros)"
"Carazinho","4304705","-28.295800000000","-52.793300000000","17.214.000"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","8.145.000"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","128.000"
"Casca","4304903","-28.560500000000","-51.981499999990","3.997.000"
"Caseiros","4304952","-28.258199999990","-51.686100000000","883.000"
"Catu�pe","4305009","-28.255400000000","-54.013199999990","1.356.000"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","142.042.684"
"Centen�rio","4305116","-27.761600000000","-51.998399999990","296.000"
"Cerrito","4305124","-31.841899999990","-52.800400000000","185.000"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","330.000"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","292.000"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1.932.000"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","3.056.000"
"Chapada","4305306","-28.055900000000","-53.066499999990","1.869.831"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","5.903.100"
"Charrua","4305371","-27.949300000000","-52.015000000000","402.000"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","853.100"
"Chu�","4305439","-33.686599999990","-53.459400000000","3.192.000"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","619.000"
"Cidreira","4305454","-30.160399999990","-50.233800000000","4.484.000"
"Cir�aco","4305504","-28.341899999990","-51.874099999990","837.500"
"Colinas","4305587","-29.381499999990","-51.852600000000","310.000"
"Colorado","4305603","-28.525800000000","-52.992800000000","609.200"
"Condor","4305702","-28.207500000000","-53.490499999990","1.408.500"
"Constantina","4305801","-27.731999999990","-52.993800000000","1.930.400"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","154.000"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","2.602.000"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1.737.000"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","167.000"
"Cotipor�","4305959","-28.989100000000","-51.697099999990","922.000"
"Coxilha","4305975","-28.128000000000","-52.302300000000","481.000"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","2.021.000"
"Cristal","4306056","-31.004600000000","-52.043599999990","1.579.000"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","246.000"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","15.782.750"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","125.000"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","2.195.500"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","899.000"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","222.000"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","205.000"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","86.500"
"Dois Irm�os","4306403","-29.583600000000","-51.089799999990","7.209.000"
"Dois Irm�os das Miss�es","4306429","-27.662099999990","-53.530400000000","145.000"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","1.317.000"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","1.593.000"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","6.316.095"
"Dom Pedro de Alc�ntara","4306551","-29.363900000000","-49.853000000000","1.951.000"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","533.000"
"Doutor Maur�cio Cardoso","4306734","-27.510300000000","-54.357799999990","878.950"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","756.000"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","10.536.000"
"Encantado","4306809","-29.235099999990","-51.870300000000","5.706.000"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","4.150.000"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","125.000"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","439.000"
"Entre-iju�s","4306932","-28.368600000000","-54.268599999990","2.013.800"
"Erebango","4306973","-27.854399999990","-52.300500000000","320.000"
"Erechim","4307005","-27.636399999990","-52.269700000000","31.796.917"
"Ernestina","4307054","-28.497699999990","-52.583599999990","1.274.000"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","735.000"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1.118.000"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","740.000"
"Esperan�a do Sul","4307450","-27.360299999990","-53.989100000000","286.000"
"Espumoso","4307500","-28.728600000000","-52.846100000000","3.612.000"
"Esta��o","4307559","-27.913499999990","-52.263500000000","1.223.500"
"Est�ncia Velha","4307609","-29.653500000000","-51.184300000000","13.821.779"
"Esteio","4307708","-29.852000000000","-51.184100000000","24.822.000"
"Estrela","4307807","-29.501600000000","-51.960500000000","9.745.591"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","719.000"
"Eug�nio de Castro","4307831","-28.531500000000","-54.150599999990","425.100"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","520.000"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","20.082.500"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","1.656.000"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","324.000"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","460.000"
"Feliz","4308102","-29.452700000000","-51.303199999990","4.830.000"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","9.442.500"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","187.000"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","1.851.000"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","555.000"
